ParticipantName	MediaName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX..MCSpx.	FixationPointY..MCSpx.	SaccadicAmplitude	AOI.color.key.Hit	AOI.H.1...leak.Hit	AOI.H.2.Hit	AOI.H.3.Hit	AOI.H.4.Hit	AOI.W.1...leak.Hit	AOI.W.2.Hit	AOI.W.3.Hit	AOI.W.4.Hit	AOI.W.5.Hit	AOI.D.Hit	AOI.D.2.Hit	AOI.D.3.Hit	AOI.D.4...sen_leak.Hit	AOI.leak.Hit
Senthil	dis5	1	NA	Fixation	233	718	275	8.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	1	NA	Fixation	233	718	275	8.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	1	NA	Fixation	233	718	275	8.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	1	NA	Fixation	233	718	275	8.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	1	NA	Fixation	233	718	275	8.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	1	NA	Fixation	233	718	275	8.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	1	NA	Fixation	233	718	275	8.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	1	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	1	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	1	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	1	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	1	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	1	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	2	NA	Fixation	167	733	294	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	2	NA	Fixation	167	733	294	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	2	NA	Fixation	167	733	294	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	2	NA	Fixation	167	733	294	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	2	NA	Fixation	167	733	294	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	2	NA	Fixation	167	733	294	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	2	NA	Fixation	167	733	294	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	2	NA	Fixation	167	733	294	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	2	NA	Fixation	167	733	294	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	2	NA	Fixation	167	733	294	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	2	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	2	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	2	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	2	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	2	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	2	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	2	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	2	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	3	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	3	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	3	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	3	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	3	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	3	NA	Fixation	34	1366	131	14.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	3	NA	Fixation	34	1366	131	14.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	4	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	4	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	4	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	4	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	4	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	NA	4	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	4	NA	Fixation	33	693	211	14.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	dis5	4	NA	Fixation	33	693	211	14.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
