ParticipantName	MediaName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX..MCSpx.	FixationPointY..MCSpx.	SaccadicAmplitude	AOI.color.key.Hit	AOI.B.1.Hit	AOI.B.2.Hit	AOI.B.3...leak.Hit	AOI.B.4.Hit	AOI.B.5.Hit	AOI.P.1.Hit	AOI.P.2.Hit	AOI.P.3.Hit	AOI.P.4...leak.Hit	AOI.J.1.Hit	AOI.J.2.Hit	AOI.J.3...sen_leak.Hit	AOI.J.4.Hit	AOI.leak.Hit
Senthil	job0	1	NA	Fixation	67	1597	958	8.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	1	NA	Fixation	67	1597	958	8.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	1	NA	Fixation	67	1597	958	8.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	1	NA	Fixation	67	1597	958	8.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	1	Saccade	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	2	NA	Fixation	183	1569	969	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	2	NA	Fixation	183	1569	969	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	2	NA	Fixation	183	1569	969	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	2	NA	Fixation	183	1569	969	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	2	NA	Fixation	183	1569	969	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	2	NA	Fixation	183	1569	969	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	2	NA	Fixation	183	1569	969	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	2	NA	Fixation	183	1569	969	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	2	NA	Fixation	183	1569	969	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	2	NA	Fixation	183	1569	969	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	2	NA	Fixation	183	1569	969	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	3	NA	Fixation	67	655	316	22.65	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	3	NA	Fixation	67	655	316	22.65	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	3	NA	Fixation	67	655	316	22.65	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	3	NA	Fixation	67	655	316	22.65	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	3	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	3	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	4	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	4	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	4	NA	Fixation	33	647	344	0.62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	4	NA	Fixation	33	647	344	0.62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	5	Saccade	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	5	NA	Fixation	100	675	363	0.72	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	5	NA	Fixation	100	675	363	0.72	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	5	NA	Fixation	100	675	363	0.72	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	5	NA	Fixation	100	675	363	0.72	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	5	NA	Fixation	100	675	363	0.72	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	5	NA	Fixation	100	675	363	0.72	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	6	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	6	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	7	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	7	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senthil	job0	NA	7	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
