ParticipantName	MediaName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX..MCSpx.	FixationPointY..MCSpx.	SaccadicAmplitude	AOI.color.key.Hit	AOI.L.7.Hit	AOI.L.8.Hit	AOI.L.9.Hit	AOI.L.4...leak.Hit	AOI.L.10.Hit	AOI.P.7.Hit	AOI.P.8.Hit	AOI.P.9.Hit	AOI.P.4...leak.Hit	AOI.P.10.Hit	AOI.N.5.Hit	AOI.N.2...sen_leak.Hit	AOI.N.6.Hit	AOI.N.7.Hit	AOI.leak.Hit
Shenyu	mit7	NA	1	Saccade	99	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	mit7	NA	1	Saccade	99	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	mit7	NA	1	Saccade	99	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	mit7	NA	1	Saccade	99	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	mit7	NA	1	Saccade	99	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	mit7	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	mit7	NA	2	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	mit7	NA	2	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	mit7	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	mit7	NA	3	Saccade	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	mit7	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	mit7	NA	4	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
