ParticipantName	MediaName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX..MCSpx.	FixationPointY..MCSpx.	SaccadicAmplitude	AOI.color.key.Hit	AOI.L.1.Hit	AOI.L.2.Hit	AOI.L.3...leak.Hit	AOI.L.4.Hit	AOI.R.1...leak.Hit	AOI.R.2.Hit	AOI.R.3.Hit	AOI.R.4.Hit	AOI.S.1.Hit	AOI.S.2...sen_leak.Hit	AOI.S.3.Hit	AOI.S.4.Hit	AOI.leak.Hit
Shenyu	sex0	NA	1	Saccade	217	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	1	Saccade	217	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	1	Saccade	217	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	1	Saccade	217	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	1	Saccade	217	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	1	Saccade	217	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	1	Saccade	217	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	1	Saccade	217	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	1	Saccade	217	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	1	Saccade	217	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	2	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	1	NA	Fixation	33	658	104	25.13	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Shenyu	sex0	1	NA	Fixation	33	658	104	25.13	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Shenyu	sex0	NA	3	Saccade	66	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	3	Saccade	66	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	3	Saccade	66	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	3	Saccade	66	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	2	NA	Fixation	34	641	138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Shenyu	sex0	2	NA	Fixation	34	641	138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Shenyu	sex0	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	3	NA	Fixation	100	610	261	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	3	NA	Fixation	100	610	261	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	3	NA	Fixation	100	610	261	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	3	NA	Fixation	100	610	261	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	3	NA	Fixation	100	610	261	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	3	NA	Fixation	100	610	261	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	5	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	5	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	5	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	5	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	5	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	5	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	5	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	4	NA	Fixation	50	599	259	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	4	NA	Fixation	50	599	259	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	4	NA	Fixation	50	599	259	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	6	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	6	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	7	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	7	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	7	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	7	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	7	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	7	Saccade	100	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	8	Saccade	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	5	NA	Fixation	99	112	343	12.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	5	NA	Fixation	99	112	343	12.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	5	NA	Fixation	99	112	343	12.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	5	NA	Fixation	99	112	343	12.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	5	NA	Fixation	99	112	343	12.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	5	NA	Fixation	99	112	343	12.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	9	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	9	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	9	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	9	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	9	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	9	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	9	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	9	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	6	NA	Fixation	33	137	270	1.91	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Shenyu	sex0	6	NA	Fixation	33	137	270	1.91	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	10	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	10	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	11	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	11	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	7	NA	Fixation	284	151	579	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	12	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	12	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	12	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	12	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	12	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	12	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	12	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	12	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	12	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	8	NA	Fixation	83	202	740	4.14	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	8	NA	Fixation	83	202	740	4.14	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	8	NA	Fixation	83	202	740	4.14	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	8	NA	Fixation	83	202	740	4.14	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	8	NA	Fixation	83	202	740	4.14	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	13	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	13	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	14	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	14	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	14	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	14	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	14	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	14	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	14	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	14	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	15	Saccade	267	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shenyu	sex0	NA	15	Saccade	267	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
