AOIName,FixationDuration,Stimulus,Participant
Other Ontology,333,None,All participants
Other Ontology,483,None,All participants
Leaking Ontology,83,None,All participants
Other Ontology,167,None,All participants
Leaking Ontology,317,None,All participants
Other Ontology,184,None,All participants
Other Ontology,217,None,All participants
Other Ontology,333,None,All participants
Other Ontology,100,None,All participants
Other Ontology,133,None,All participants
Other Ontology,250,None,All participants
Other Ontology,300,None,All participants
Other Ontology,233,None,All participants
Leaking Ontology,100,None,All participants
Leaking Ontology,67,None,All participants
Leaking Ontology,83,None,All participants
Leaking Ontology,33,None,All participants
Leaking Ontology,216,None,All participants
Leaking Ontology,117,None,All participants
Leaking Ontology,200,None,All participants
Leaking Nodes,467,None,All participants
Leaking Ontology,333,None,All participants
Leaking Nodes,117,None,All participants
Other Ontology,33,None,All participants
Leaking Ontology,150,None,All participants
Other Ontology,50,None,All participants
Leaking Nodes,100,None,All participants
Other Ontology,50,None,All participants
Leaking Ontology,100,None,All participants
Other Ontology,283,None,All participants
Other Ontology,200,None,All participants
Leaking Ontology,283,None,All participants
Leaking Ontology,33,None,All participants
Other Ontology,150,None,All participants
Other Ontology,600,None,All participants
Other Ontology,100,None,All participants
Other Ontology,767,None,All participants
Other Ontology,183,None,All participants
Other Ontology,250,None,All participants
Other Ontology,83,None,All participants
Other Ontology,67,None,All participants
Other Ontology,33,None,All participants
Other Ontology,83,None,All participants
Leaking Ontology,450,None,All participants
Other Ontology,67,None,All participants
Leaking Nodes,1117,None,All participants
Leaking Ontology,217,None,All participants
Leaking Nodes,317,None,All participants
Leaking Ontology,150,None,All participants
Leaking Nodes,100,None,All participants
Leaking Ontology,217,None,All participants
Leaking Nodes,516,None,All participants
Leaking Ontology,300,None,All participants
Leaking Ontology,417,None,All participants
Leaking Nodes,266,None,All participants
Leaking Ontology,450,None,All participants
Leaking Nodes,100,None,All participants
Leaking Ontology,250,None,All participants
Leaking Ontology,183,None,All participants
Leaking Nodes,966,None,All participants
Leaking Ontology,783,None,All participants
Leaking Nodes,333,None,All participants
Leaking Ontology,233,None,All participants
Other Ontology,167,None,All participants
Leaking Ontology,33,None,All participants
Leaking Ontology,100,None,All participants
Leaking Ontology,33,None,All participants
Leaking Ontology,1033,None,All participants
Leaking Nodes,1383,None,All participants
Leaking Ontology,1099,None,All participants
Leaking Nodes,500,None,All participants
Leaking Ontology,316,None,All participants
Leaking Nodes,483,None,All participants
Leaking Ontology,333,None,All participants
Leaking Nodes,233,None,All participants
Leaking Ontology,183,None,All participants
Leaking Nodes,433,None,All participants
Leaking Ontology,350,None,All participants
Leaking Ontology,685,None,All participants
Other Ontology,100,None,All participants
Leaking Nodes,384,None,All participants
Leaking Ontology,83,None,All participants
Leaking Ontology,133,None,All participants
